arm,ref_lookback,min_ext,max_ext,volume_mult,horizon,look_id,total_entries,trades_per_up_week,n,mean,se,eligible
L,96,0.005,0.04,3.0,24h,L|96-0.005-0.04-3.0|24h,2320,59.52351863164325,2320,0.005954085351882288,0.002448671294194721,True
L,96,0.005,0.04,3.0,48h,L|96-0.005-0.04-3.0|48h,1944,49.87660354306659,1944,0.011869679369658355,0.006057252699715633,True
L,96,0.005,0.04,3.0,96h,L|96-0.005-0.04-3.0|96h,1578,40.486255345143555,1573,0.010564239802704784,0.010118259396327644,True
L,96,0.005,0.06,1.5,24h,L|96-0.005-0.06-1.5|24h,2995,76.8417837507636,2995,0.004395144714125688,0.0019787824190305075,True
L,96,0.005,0.06,1.5,48h,L|96-0.005-0.06-1.5|48h,2401,61.60171044593769,2401,0.00982115756962755,0.005346257171108538,True
L,96,0.005,0.06,1.5,96h,L|96-0.005-0.06-1.5|96h,1851,47.490531459987785,1845,0.009141914948193306,0.009719326702530397,True
L,96,0.005,0.06,2.0,24h,L|96-0.005-0.06-2.0|24h,2792,71.6334758704948,2792,0.0047840479081755665,0.002061376177792976,True
L,96,0.005,0.06,2.0,48h,L|96-0.005-0.06-2.0|48h,2264,58.0867440439829,2264,0.010476158635767696,0.005574181937746779,True
L,96,0.005,0.06,2.0,96h,L|96-0.005-0.06-2.0|96h,1771,45.43799633475871,1765,0.010172629088451828,0.009681906502549499,True
L,96,0.005,0.06,3.0,24h,L|96-0.005-0.06-3.0|24h,2343,60.11362248014661,2343,0.00590991010703619,0.0022305810976553523,True
L,96,0.005,0.06,3.0,48h,L|96-0.005-0.06-3.0|48h,1963,50.3640806353085,1963,0.011361637671590027,0.005743987647703548,True
L,96,0.005,0.06,3.0,96h,L|96-0.005-0.06-3.0|96h,1590,40.79413561392792,1584,0.010850993221275373,0.009988963523444345,True
L,96,0.01,0.03,1.5,24h,L|96-0.01-0.03-1.5|24h,1643,42.15394013439218,1643,0.005667205030569054,0.0029059806831476177,True
L,96,0.01,0.03,1.5,48h,L|96-0.01-0.03-1.5|48h,1409,36.150274893097134,1409,0.01430421206600519,0.007242107591023752,True
L,96,0.01,0.03,1.5,96h,L|96-0.01-0.03-1.5|96h,1175,30.146609651802077,1173,0.013797713180520983,0.011492380215805252,True
L,96,0.01,0.03,2.0,24h,L|96-0.01-0.03-2.0|24h,1538,39.45998778252902,1538,0.005659498888970995,0.0029765604992611377,True
L,96,0.01,0.03,2.0,48h,L|96-0.01-0.03-2.0|48h,1332,34.17470983506414,1332,0.014613686104085633,0.007586790258672512,True
L,96,0.01,0.03,2.0,96h,L|96-0.01-0.03-2.0|96h,1121,28.76114844227245,1119,0.01428090743769784,0.011784417239008783,True
L,96,0.01,0.03,3.0,24h,L|96-0.01-0.03-3.0|24h,1290,33.09712889431888,1290,0.007733840221582784,0.003354265098757805,True
L,96,0.01,0.03,3.0,48h,L|96-0.01-0.03-3.0|48h,1146,29.402565668906536,1146,0.01701754439882435,0.007954288655921193,True
L,96,0.01,0.03,3.0,96h,L|96-0.01-0.03-3.0|96h,986,25.29749541844838,984,0.016409861204156495,0.012433050457135712,True
L,96,0.01,0.04,1.5,24h,L|96-0.01-0.04-1.5|24h,1689,43.3341478313989,1689,0.006001621640824803,0.002775942097491731,True
L,96,0.01,0.04,1.5,48h,L|96-0.01-0.04-1.5|48h,1443,37.02260232131949,1443,0.014462328459464784,0.007341642528444164,True
L,96,0.01,0.04,1.5,96h,L|96-0.01-0.04-1.5|96h,1199,30.762370189370802,1197,0.01343972714301479,0.011457391189574484,True
L,96,0.01,0.04,2.0,24h,L|96-0.01-0.04-2.0|24h,1586,40.69150885766646,1586,0.006495699912888141,0.002810845199472071,True
L,96,0.01,0.04,2.0,48h,L|96-0.01-0.04-2.0|48h,1365,35.02138057422114,1365,0.015384341550936051,0.00772283489231349,True
L,96,0.01,0.04,2.0,96h,L|96-0.01-0.04-2.0|96h,1145,29.376908979841176,1143,0.015101745257853343,0.011804105642062072,True
L,96,0.01,0.04,3.0,24h,L|96-0.01-0.04-3.0|24h,1338,34.32864996945632,1338,0.009188458374224714,0.0031470315458970045,True
L,96,0.01,0.04,3.0,48h,L|96-0.01-0.04-3.0|48h,1184,30.37751985339035,1184,0.017593628444356926,0.00806201269063868,True
L,96,0.01,0.04,3.0,96h,L|96-0.01-0.04-3.0|96h,1017,26.09285277947465,1015,0.01652773254293723,0.012179082617157886,True
L,96,0.01,0.06,1.5,24h,L|96-0.01-0.06-1.5|24h,1721,44.155161881490535,1721,0.005751120972779755,0.0025735876592349093,True
L,96,0.01,0.06,1.5,48h,L|96-0.01-0.06-1.5|48h,1469,37.689676237018936,1469,0.013050236816779717,0.007267613864759196,True
